what (question particle used in front of nouns)|ما|particle|common||n
what (used with verbs)|ماذا|particle|common||n
married|مُتَزَوَّج|noun|family|m|n
married (pl)|مُتَزَوَّجون|noun|family|m|y
meaning|مَعْنى|noun||m|n
meanings|مَعانٍ/المعاني|noun||m|y
minus|ناقِص|noun||m|n
question particle for yes/no questions|هَلْ|particle|common||n
identity|هُوِيّة|noun||f|n
identities|هُوِيّات|noun||f|y
one|واحِد|noun|numbers|m|n
vocative particle used to call the attention of the addressee|يا|particle|common||n
Japanese (language)|اليابانِيَّة|noun|subjects|f|n
biology|أحْياء|noun|subjects|f|n
rather, but|بَلْ|particle|||n
building|بِناية|noun|locations|f|n
buildings|بِنايات|noun|locations|f|y
bag; briefcase|حَقيبة|noun|clothing|f|n
bags; briefcases|حَقائب|noun|clothing|f|y
closet, cupboard|خِزانة|noun|household|f|n
closets, cupboards|خَزائِن/خِزانات|noun|household|f|y
to study|دَرَسَ (يَدرُسُ) دِراسة/دَرْس|verb|||n
bed|سَرير|noun|household|m|n
beds|أسِرّة|noun|household|m|y
small; young|صَغيرة|adj|common|f|n
school subject, course|مادّة|noun|education|f|n
school subjects, courses|مَوادّ|noun|education|f|y
middle|وُسْطى|adj|common|f|n
father|أب|noun|family|m|n
fathers|آباء|noun|family|m|y
elementary|ابْتِدائيّ|adj|education||n
son|ابْنٌ|noun|family|m|n
sons|أبْناء|noun|family|m|y
daughter|ابْنَة|noun|family|f|n
daughters|بَنات|noun|family|f|y
brother|أَخ|noun|family|m|n
brothers|إخوة|noun|family|m|y
sister|أُخْت|noun|family|f|n
sisters|أَخَوات|noun|family|f|y
mother|أُمّ|noun|family|m|n
mothers|أُمَّهات|noun|family|m|y
English|إنْكليزيّ|noun|subjects|m|n
first|أوَّل|noun|numbers|m|n
first (pl)|أوائِل|noun|numbers|m|y
girl|بِنْت|noun|people|f|n
girls|بَنات|noun|people|f|y
ninth|تاسِع|adj|numbers||n
differential equations|تَفاضُل|noun|subjects|m|n
second|ثانٍ (الثاني)|noun|numbers|m|n
third|ثالِث|adj|numbers||n
eighth|ثامِن|adj|numbers||n
fifth|خامِس|adj|numbers||n
of school, academic|دِراسِيّ|adj|education||n
fourth|رابع|adj|numbers||n
husband|زَوْج|noun|family|m|n
husbands|أزْواج|noun|family|m|y
wife|زَوْجَة|noun|family|f|n
wives|زَوْجات|noun|family|f|y
seventh|سابع|adj|numbers||n
sixth|سادِس|adj|numbers||n
small; young|صَغير|adj|common|m|n
child|طِفْل|noun|people|m|n
children|أطْفال|noun|people|m|y
tenth|عاشِر|adj|numbers||n
nuclear family, family that one supports|عائِلَة|noun|family|f|n
nuclear families, family that one supports (pl)|عوائِل/عائِلات|noun|family|f|y
(academic) term, season|فَصْل|noun|education|m|n
(academic) terms, seasons|فُصول|noun|education|m|y
only; no more than|فَقَطْ|particle|common||n
physics|فيزياء|noun|subjects|f|n
big|كَبير|adj|common||n
chemistry|كيمياء|noun|subjects|f|n
nice|لَطيف|adj|||n
who|مَنْ|pronoun|common||n
sole, only|وَحيد|noun||m|n
sole, only (pl)|وَحيدون|noun||m|y
boy|وَلَد|noun|people|m|n
boys|أَوْلاد|noun|people|m|y
to be able, can|اِسْتَطاعَ (يَسْتَطِيعُ) اِسْتِطاعة|verb|common||n
sorry|آسِف/آسِفة|noun|common|m/f|n
most knowledgeable|أعلَم|noun|||n
God knows|الله أعْلَم|phrase|common||n
librarian|أمينُ/أمينةُ مَكتَبةٍ|noun|occupations|m/f|n
program|بَرنامَج|noun||m|n
programs|بَرامِج|noun||m|y
to speak|تَكَلَّمَ (يَتَكَلَّمُ) تَكَلُّم|verb|common||n
abundant|جَزيلاً|adj|||n
good|جَيِّد|adj|common||n
well|جَيِّداً|adv|common||n
where, when|حَيْثُ|adv|common||n
pharmacology|صَيْدَلَة|noun|subjects|f|n
knowledgeable|عَليم|adj|||n
group of ten|عَقْد|noun|numbers|f|n
groups of ten|عُقود|noun|numbers|f|y
little|قَليل|adj|common||n
a little|قَليلاً|adv|common||n
to, for, by|لـ|prep|||n
don’t worry about it|لا شُكْرَ على واجِب|phrase|common||n
boss; director, manager|مُدير|noun|occupations|m|n
bosses; directors, managers|مُدَراء|noun|occupations|m|y
help, assistance|مُساعَدة|noun|||n
agreement|مُوافَقَة|noun|||n
worker; employee|مُوَظَّف|noun|occupations|m|n
workers; employees|مُوَظَّفون|noun|occupations|m|y
hundred|مِئة|noun|numbers|f|n
hundreds|مِئات|noun|numbers|f|y
you (m. sg.) are able|يُمْكِنُكَ|verb|||n
to like|أحَبَّ (يُحِبُّ) جُبّ، مَحَبّة|verb|common||n
sometimes|أحياناً|adv|common||n
to want|أرادَ (يُريدَ) إرادة|verb|common||n
to give|أعطى (يُعطي) أَعْطِ|verb|common||n
giving|إعْطاء|noun|||n
which|أيُّ/أيّةُ|noun||m/f|n
to sell|باعَ (يَبيعُ) بَيْع|verb|||n
if you please|تَفَضَّلْ/تَفَضَّلي|verb|common||n
usually|عادَةً|adv|common||n
to do|فَعَلَ (يَفعَلُ) فِعْل|verb|common||n
to read|قَرَأَ (يَقرَأُ) قِراءة|verb|common||n
nearby, close|قُرْب|adv|common||n
to write|كَتَبَ (يَكْتُبُ) كِتابة|verb|common||n
magazine|مَجَلَّة|noun|entertainment|f|n
magazines|مَجَلاّت|noun|entertainment|f|y
please|مِنْ فَضْلِك|phrase|common||n
to bring|أحْضَرَ (يُحْضِرُ) إحْضار|verb|||n
rice|أرُزّ|noun|food|m|n
to eat|أكَلَ (يأكُلُ) أكْل|verb|common||n
orange|بُرتُقال|noun|food|m|n
egg|بَيْض|noun|food|m|n
Come here!|تَعالَ/تَعالي|verb|common|m/f|n
apple|تُفّاح|noun|food|m|n
to eat; to take; to reach for something|تَناوَلَ (يَتَناوَلُ) تَناوُل|verb|||n
cheese|جُبْن|noun|food|m|n
cheeses|أجْبان|noun|food|m|y
to sit|جَلَسَ (يَجلِسُ) جُلوس (اِجلِسْ)|verb|||n
ready, all set|حاضِر|adj|||n
grain, cereal|حَبّ|noun|food|m|n
grains, cereals|حُبوب|noun|food|m|y
very well, okay (a response denoting agreement)|حَسَناً|adv|common||n
to prepare, to make|حَضَّرَ (يُحَضِّرُ) تَحْضير|verb|||n
milk|حَليب|noun|food|m|n
bread|خُبْز|noun|food|m|n
vegetables, greens|خَضْراوات|noun|food|f|n
light|خَفيف|adj|||n
pig, swine|خِنزير|noun|animals|m|n
pigs, swine|خَنازير|noun|animals|m|y
chicken|دَجاج|noun|food|m|n
without|دونَ|prep|||n
butter|زُبْدة|noun|food|f|n
wild thyme|زَعتَر|noun|food|m|n
olive|زَيْتون|noun|food|m|n
sugar|سُكَّر|noun|food|m|n
salad|سَلَطة|noun|food|f|n
salads|سَلَطات|noun|food|f|y
tea|شاي|noun|food|m|n
to drink|شَرِبَ (يَشْرَبُ) شُرْب|verb|common||n
morning|صَباح|noun|times|m|n
falafel (Egypt)|طَعْمِيّة|noun|food|f|n
noon|ظُهْر|noun|times|m|n
honey|عَسَل|noun|food|m|n
juice|عَصير|noun|food|m|n
breakfast|فَطور|noun|food|m|n
falafel (Syria)|فُلفُل|noun|food|m|n
falafel (Syria) (pl)|فَلافِل|noun|food|m|y
cup|فِنْجان|noun|dishes|m|n
cups|فَناجين|noun|dishes|m|y
fava beans|فول|noun|food|m|n
piece|قِطْعة|noun||f|n
pieces|قِطَع|noun||f|y
coffee|قَهْوة|noun|food|f|n
glass|كَأس|noun|dishes|f|n
glasses|كُؤوس|noun|dishes|f|y
a great deal|كَثيراً|adv|||n
meat|لحْم|noun|food|m|n
meats|لُحوم|noun|food|m|y
What’s your opinion?|ما رأيُك|phrase|||n
water|ماء|noun|food|m|n
waters|مِياه|noun|food|m|y
when|مَتى|particle|common||n
jam, preserve|مُرَبّى|noun|food|m|n
jams, preserves|مُرَبَّيات|noun|food|m|y
boiled|مَسْلوق|particle|||n
evening|مَساء|noun|times|m|n
kitchen|مَطْبَخ|noun|household|m|n
kitchens|مَطابِخ|noun|household|m|y
restaurant|مَطْعَم|noun|locations|m|n
restaurants|مَطاعِم|noun|locations|m|y
cafeteria|مَقْصَف|noun|locations|m|n
cafeterias|مَقاصِف|noun|locations|m|y
agree|مُوافِق|adj|||n
one|أحَد|noun||m|n
one (pl)|آحاد|noun||m|y
